ID,Upvotes
7,384.7197043376775
9,540.36468601174
12,407.3519708802728
13,540.36468601174
16,117.38663580246912
17,151.25523072513613
22,327.5699163653427
25,540.36468601174
26,327.5699163653427
27,540.36468601174
33,407.3519708802728
43,117.38663580246912
47,79.02724642340459
48,327.5699163653427
52,327.5699163653427
56,112.1572941014712
57,540.36468601174
59,407.3519708802728
60,540.36468601174
61,540.36468601174
62,540.36468601174
63,384.7197043376775
64,327.5699163653427
65,327.5699163653427
68,384.7197043376775
70,79.02724642340459
75,327.5699163653427
76,540.36468601174
79,407.3519708802728
84,117.38663580246912
90,540.36468601174
94,237.03138532778806
106,117.38663580246912
112,407.3519708802728
113,540.36468601174
116,407.3519708802728
117,327.5699163653427
118,316.46013566808637
120,237.03138532778806
122,327.5699163653427
126,117.38663580246912
141,327.5699163653427
144,237.03138532778806
147,237.03138532778806
162,407.3519708802728
163,327.5699163653427
164,540.36468601174
166,117.38663580246912
170,407.3519708802728
171,540.36468601174
176,407.3519708802728
180,237.03138532778806
187,384.7197043376775
190,540.36468601174
191,316.46013566808637
199,117.38663580246912
201,540.36468601174
204,407.3519708802728
209,327.5699163653427
212,540.36468601174
214,540.36468601174
218,327.5699163653427
221,540.36468601174
222,117.38663580246912
226,540.36468601174
227,407.3519708802728
231,327.5699163653427
232,316.46013566808637
235,117.38663580246912
236,117.38663580246912
239,540.36468601174
241,540.36468601174
248,237.03138532778806
251,407.3519708802728
253,327.5699163653427
255,407.3519708802728
256,327.5699163653427
280,327.5699163653427
285,327.5699163653427
289,117.38663580246912
292,327.5699163653427
294,327.5699163653427
295,79.02724642340459
298,112.1572941014712
303,407.3519708802728
310,407.3519708802728
311,407.3519708802728
313,540.36468601174
314,407.3519708802728
316,327.5699163653427
317,327.5699163653427
324,407.3519708802728
327,540.36468601174
328,540.36468601174
335,407.3519708802728
345,540.36468601174
349,540.36468601174
350,540.36468601174
355,112.1572941014712
356,237.03138532778806
359,316.46013566808637
364,151.25523072513613
372,327.5699163653427
385,237.03138532778806
390,327.5699163653427
391,540.36468601174
395,151.25523072513613
397,117.38663580246912
398,407.3519708802728
401,327.5699163653427
402,79.02724642340459
405,316.46013566808637
409,540.36468601174
413,79.02724642340459
415,384.7197043376775
418,384.7197043376775
422,316.46013566808637
424,384.7197043376775
425,117.38663580246912
426,316.46013566808637
429,117.38663580246912
430,117.38663580246912
444,540.36468601174
445,112.1572941014712
451,117.38663580246912
453,540.36468601174
456,327.5699163653427
457,237.03138532778806
459,540.36468601174
461,407.3519708802728
470,316.46013566808637
478,112.1572941014712
480,540.36468601174
481,112.1572941014712
487,540.36468601174
488,540.36468601174
490,327.5699163653427
491,327.5699163653427
493,327.5699163653427
496,117.38663580246912
498,540.36468601174
501,316.46013566808637
505,327.5699163653427
508,237.03138532778806
509,112.1572941014712
516,540.36468601174
521,327.5699163653427
522,407.3519708802728
525,540.36468601174
528,407.3519708802728
535,327.5699163653427
538,237.03138532778806
543,540.36468601174
548,316.46013566808637
554,316.46013566808637
555,540.36468601174
556,79.02724642340459
557,540.36468601174
561,237.03138532778806
567,407.3519708802728
570,316.46013566808637
572,327.5699163653427
573,407.3519708802728
576,327.5699163653427
580,327.5699163653427
581,117.38663580246912
586,327.5699163653427
588,316.46013566808637
589,79.02724642340459
591,117.38663580246912
593,117.38663580246912
594,540.36468601174
597,117.38663580246912
601,316.46013566808637
607,407.3519708802728
609,540.36468601174
610,327.5699163653427
613,117.38663580246912
616,384.7197043376775
618,540.36468601174
619,112.1572941014712
620,316.46013566808637
626,117.38663580246912
631,384.7197043376775
633,316.46013566808637
634,237.03138532778806
641,237.03138532778806
